companyName,industry,companyType,capital,ceoName,mainBusiness,Homage,affiliates,numberOfEmployees,establishmentDate,revenue,graduateSalary,hasFourInsurances,address
AJ네트웍스,렌탈·임대·리스,대기업,468억 2천만원 (2024.12.31),곽정호,"파렛트,OA장비,건설장비 등 대여,도소매,전자상거래",http://www.ajnetworks.co.kr,AJ네트웍스그룹 에이제이아이씨티(주) 에이제이대원(주) (주)월드컨설팅 에이제이토탈(주) 에이제이렌탈서비스(주) (주)포시즌컨설팅 에이제이스포츠(주) (주)티에스글로벌 (주)에이제이전국스카이 에이제이에너지(주) 에이제이리테일(주) 에이스산업기술(주) 에이아이앤솔루션즈(주) 에이제이트랜스밸류(주),500명,2000.02.10 (26년차),"6,116억 7천만원 (2024.12.31)","3,900만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 송파구 정의로8길 9 (문정동) AJ빌딩
AK홀딩스,기타 토목시설물 건설업,중소기업,-,김진성,"국민연금, 건강보험, 고용보험, 산재보험","서울 동작구 남부순환로 2077 (사당동, 건축회관) 6층",N/A,10명,2017.05.25 (9년차),-,토목공사,-,N/A
BGF,체인화 편의점,중견기업,172억 8천만원 (2024.12.31),민승배,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기,"2,869명 (2024.12.31)",2017.11.01 (9년차),"8조 5,921억원 (2024.12.31)",체인화 편의점,http://www.bgfretail.com,N/A
BGF리테일,체인화 편의점,중견기업,172억 8천만원 (2024.12.31),민승배,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기,"2,869명 (2024.12.31)",2017.11.01 (9년차),"8조 5,921억원 (2024.12.31)",체인화 편의점,http://www.bgfretail.com,N/A
BGF에코머티리얼즈,합성수지 및 기타 플라스틱 물질 제조업,중견기업,313억 8천만원 (2024.12.31),홍정혁,"국민연금, 건강보험, 고용보험, 산재보험",경기 화성시 장안면 상두원길 142 (장안리),BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 (주)비지에프리테일 더보기,161명 (2024.12.31),1997.10.13 (29년차),"1,807억 3백만원 (2024.12.31)","합성수지,칩(엔지니어링 플라스틱소재) 제조",http://www.bgfecomaterials.com,N/A
BNK금융지주,컨설팅·연구·조사,대기업,"1조 6,296억원 (2024.12.31)",빈대인,"국민연금, 건강보험, 고용보험, 산재보험","부산 남구 문현금융로 30 (문현동, 부산은행본점) (주)BNK금융지주",BNK금융그룹 비엔케이신용정보(주) (주)부산은행 비엔케이자산운용(주) 비엔케이캐피탈(주) (주)비엔케이시스템 (주)비엔케이저축은행 비엔케이벤처투자(주) (주)비엔케이투자증권 (주)경남은행,111명 (2024.12.31),2011.03.15 (15년차),"3,770억 6천만원 (2024.12.31)",금융지주회사/경영 관리,http://www.bnkfg.com,N/A
BNK캐피탈,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BYC,속옷 및 잠옷 제조업,중견기업,42억원 (2024.12.31),김대환,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급",http://home.byc.co.kr,비와이씨그룹 (주)남호섬유 (주)바이콤광고 (학)신한학원 (주)창성상품 한영봉제(주) (주)리넥트 (주)인화상품 (주)백양 신한봉제(주) 경동흥업(주) (주)신한방 (주)백양네트웍스 (주)한정씨앤지 한흥물산(주) (주)제일상품 (주)신한에디피스 농업회사법인신한농림(주) (주)제원기업 (주)일관 더보기,517명 (2024.12.31),1955.05.13 (71년차),"1,642억 8천만원 (2024.12.31)","3,546만원","국민연금, 건강보험, 고용보험, 산재보험",서울 영등포구 디지털로38길 27 (대림동) byc
CJ,음식료·외식·프랜차이즈,대기업,"1,790억 4천만원 (2024.12.31)",손경식/김홍기,"식품서비스, 신유통, E&M, 생명공학",http://www.cj.net,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기,"50,000명",1953.08.01 (73년차),27조,"4,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 중구 남대문로5가 500번지 CJ빌딩
CJ CGV,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CJ ENM,방송·케이블·프로덕션,대기업,"1,105억 7천만원 (2024.12.31)",윤상현,종합 콘텐츠 기업,http://cjenm.com,씨제이그룹 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 한국복합물류(주) CJ(주) 더보기,"3,614명",1994.12.16 (32년차),"2조 7,872억원 (2024.12.31)","3,506만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 마포구 상암동 상암산로 66 CJ ENM CENTER 엔터테인먼트부문
CJ 바이오사이언스,제약·보건·바이오,중소기업,-,adminBoss,-,https://www.cjbioscience.com/,N/A,50명,-,-,"6,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 중구 세종대로 14 (남대문로5가, 그랜드센트럴(G"
CJ대한통운,물류·운송·배송,중소기업,-,이종석,"고용보험, 산재보험",서울 금천구 가산동 319-19,N/A,"100,000명",1880.01.01 (146년차),-,택배업무,-,N/A
CJ씨푸드,"수산동물 훈제, 조리 및 유사 조제식품 제조업",대기업,180억 6천만원 (2024.12.31),임항순,"수산물(어묵,맛살)가공품 제조, 도매,원양수산업,수출입",http://www.cjseafood.net,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 한국복합물류(주) CJ(주) 더보기,368명 (2024.12.31),1976.03.15 (50년차),"1,574억 1천만원 (2024.12.31)","3,200만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",경기 성남시 중원구 상대원2동 5449-1
CJ제일제당,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CJ프레시웨이,음식료·외식·프랜차이즈,대기업,"1,790억 4천만원 (2024.12.31)",손경식/김홍기,"식품서비스, 신유통, E&M, 생명공학",http://www.cj.net,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기,"50,000명",1953.08.01 (73년차),27조,"4,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 중구 남대문로5가 500번지 CJ빌딩
CS홀딩스,컴퓨터시스템 통합 자문 및 구축 서비스업,대기업,471억 9천만원 (2024.12.31),현신균,"컨설팅,시스템 구축/운영,토탈 아웃소싱, AI,클라우드,스마트팩토리 등 IT신기술 기반의 DX사업",http://www.lgcns.com,엘지그룹 (주)엘지헬로비전 (주)LG유플러스 에이스냉동공조(주) 해태에이치티비(주) (주)미디어로그 (주)하이프라자 태극제약(주) (주)LG화학 (주)LG생활건강 (주)데이콤크로싱 (주)로보스타 (주)씨에스리더 (주)디앤오 LG전자(주) (주)비즈테크아이 (주)에프엠지 (주)아인텔레서비스 (주)LG 더보기,"6,891명 (2024.12.31)",1987.01.14 (39년차),"5조 4,075억원 (2024.12.31)","5,400만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 영등포구 여의대로 24 (여의도동, 전국경제인연 ."
DB,손해 사정업,대기업,10억원 (2024.12.31),유세종,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기,900명 (2024.12.31),1984.02.29 (42년차),"1,026억 6천만원 (2024.12.31)",손해사정(보험관련서비스)/관리업무대행,http://www.dbsonsa.com,N/A
DB생명보험,손해 사정업,대기업,10억원 (2024.12.31),유세종,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기,900명 (2024.12.31),1984.02.29 (42년차),"1,026억 6천만원 (2024.12.31)",손해사정(보험관련서비스)/관리업무대행,http://www.dbsonsa.com,N/A
DB손해보험,손해 사정업,대기업,10억원 (2024.12.31),유세종,"국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 테헤란로 432 (대치동, DB금융센터) 15층",DB그룹 디비캐피탈(주) 동부철구(주) (주)DB하이텍 (주)디비아이엔씨 디비자산운용(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 디비씨에스아이손해사정(주) 더보기,900명 (2024.12.31),1984.02.29 (42년차),"1,026억 6천만원 (2024.12.31)",손해사정(보험관련서비스)/관리업무대행,http://www.dbsonsa.com,N/A
DB하이텍,비메모리용 및 기타 전자집적회로 제조업,대기업,"2,225억 5천만원 (2024.12.31)",조기석,반도체 제조,http://dbhitek.com,DB그룹 디비캐피탈(주) 동부철구(주) (주)디비아이엔씨 디비자산운용(주) 디비자동차보험손해사정(주) 디비생명보험(주) DB증권(주) DB손해보험(주) (주)디비저축은행 (주)디비월드 (주)디비메탈 농업회사법인대지영농(주) 디비인베스트(주) 디비씨앤에스자동차손해사정(주) 더보기,"2,004명 (2024.12.31)",1953.04.28 (73년차),"9,915억 8천만원 (2024.12.31)","3,725만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",경기 부천시 수도로 90 (도당동) 디비하이텍
DGB생명보험,생명 보험업,대기업 계열사·자회사,737억원,박경원,생명보험,http://www.dgbfnlife.com,DGB금융지주그룹 (주)아이엠증권 아이엠에셋자산운용(주) (주)아이엠신용정보 (주)아이엠뱅크 (주)아이엠유페이 (주)아이엠금융지주 (주)뉴지스탁 (주)아이엠데이터시스템 아이엠투자파트너스(주),260명,1988.06.01 (38년차),1조2858억7천만,"2,800만원","국민연금, 건강보험, 고용보험, 산재보험","서울 서대문구 충정로 29 (충정로3가, 동아일보사건물) DGB생명"
DL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DSR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DSR제강,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
E1,기체연료 및 관련제품 도매업,대기업,343억원 (2024.12.31),구자용/천정식,"LPG(프로판,부탄가스),가스기기판매",http://www.e1.co.kr,엘에스그룹 엘에스메카피온(주) 엘에스마린솔루션(주) (주)이원물류 엘에스엠앤엠(주) 엘에스빌드윈(주) (주)토리컴 (주)선우 엘에스증권(주) 엘에스이엔엠(주) (주)디케이씨 (주)모보 (주)지앤피 가온전선(주) (주)LS 제이에스전선(주) 엘에스일렉트릭(주) 엘에스글로벌인코퍼레이티드(주) 더보기,327명 (2024.12.31),1984.09.06 (42년차),"8조 9,891억원 (2024.12.31)","4,000만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 용산구 한강대로 92 (한강로2가, LS용산타워)"
F&F,축전지 제조업,중견기업,181억 4천만원 (2024.12.31),최수안,"국민연금, 건강보험, 고용보험, 산재보험",대구 달서구 이곡동로 11 (이곡동) 엘앤에프 본사,새로닉스그룹 광성전자(주) (주)새로닉스 (주)제이에이치머티리얼즈 제이에이치화학공업(주),"1,643명 (2024.12.31)",2000.07.27 (26년차),"1조 9,031억원 (2024.12.31)","2차전지 양극활물질,액정표시장치 제조",http://www.landf.co.kr,N/A
GKL,-,비영리단체·교육재단,-,김수진,"국민연금, 건강보험, 고용보험, 산재보험","서울 중구 한강대로 416 (남대문로5가, 서울스퀘어) 5층 GKL행복어린이집 강북힐튼점",N/A,-,-,-,-,-,N/A
GS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GS건설,포장 공사업,중소기업,15억 5백만원 (2023.12.31),박우주,"국민연금, 건강보험, 고용보험, 산재보험",서울 금천구 탑골로2길 46 (시흥동) 인우빌딩 4층 지에스성신건설(주),N/A,20명 (2023.12.31),2009.02.20 (17년차),59억 1천만원 (2023.12.31),"포장공사,시설물유지공사,토목공사,상하수도공사,습식방수공사,도장공사/발전기 제조/설계,감리/건설기계 임대",http://아스팔트.kr,N/A
GS글로벌,상품 종합 도매업,대기업,"2,063억 3천만원 (2024.12.31)",이영환,"수출입업(시멘트,철강금속,전기전자,섬유,기계화학),상품중개,광업,채석업/하수처리 서비스/부동산 임대",http://www.gsgcorp.com,지에스그룹 상지해운(주) 지에스엠비즈(주) (주)보헌개발 지에스이피에스(주) (주)옥산유통 이노폴리텍(주) (주)켐텍인터내셔날 지에스파워(주) 자이에스앤디(주) (주)지에스이앤알 (주)GS 센트럴모터스(주) (주)지에스스포츠 삼양통상(주) 지에스칼텍스(주) (주)지에스텔레서비스 인천종합에너지(주) 더보기,268명 (2024.12.31),1954.07.31 (72년차),"3조 5,038억원 (2024.12.31)","2,900만원","국민연금, 건강보험, 고용보험, 산재보험",서울 강남구 역삼동 679번지 GS타워 10층
GS리테일,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDC,건물용 기계.장비 설치 공사업,대기업,129억 7천만원 (2024.12.31),김성은,"자동제어기기설치공사/자동제어기기(산업용 프로세스제어),IBS(빌딩자동화시스템) 제조,도매/인텔리전트빌딩시스템 설계,구축,홈네트워크사업",http://www.hdc-labs.com,에이치디씨그룹 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 미래비아이(주) 더보기,"5,704명 (2024.12.31)",1999.09.17 (27년차),"6,288억 7백만원 (2024.12.31)","2,960만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","경기 성남시 분당구 정자일로213번길 5 (정자동, 아이"
HDC랩스,건물용 기계.장비 설치 공사업,대기업,129억 7천만원 (2024.12.31),김성은,"자동제어기기설치공사/자동제어기기(산업용 프로세스제어),IBS(빌딩자동화시스템) 제조,도매/인텔리전트빌딩시스템 설계,구축,홈네트워크사업",http://www.hdc-labs.com,에이치디씨그룹 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 미래비아이(주) 더보기,"5,704명 (2024.12.31)",1999.09.17 (27년차),"6,288억 7백만원 (2024.12.31)","2,960만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","경기 성남시 분당구 정자일로213번길 5 (정자동, 아이"
HDC현대EP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HDC현대산업개발,아파트 건설업,대기업,"3,295억 3천만원 (2024.12.31)",정경구/조태제,"국민연금, 건강보험, 고용보험, 산재보험","서울 용산구 한강대로23길 55 (한강로3가, 용산역) 9층",에이치디씨그룹 에이치디씨랩스(주) 에이치디씨아이앤콘스(주) 에이치디씨현대이피(주) 부동산일일사(주) 에이치디씨자산운용(주) 에이치디씨아이파크몰(주) 서울-춘천고속도로(주) 에이치디씨스포츠(주) 호텔에이치디씨(주) 에이치디씨영창(주) 북항아이브리지(주) 에이치디씨(주) 에이치디씨리조트(주) 더보기,"1,842명 (2024.12.31)",2018.05.02 (8년차),"4조 2,113억원 (2024.12.31)","외주주택공사,자체공사,일반건축공사,토목공사/주택신축판매/부동산 매매,임대",http://www.hdc-dvp.com,N/A
HD현대,화학·에너지·환경,대기업,"1조 2,000억원",주영민,"국민연금, 건강보험, 고용보험, 산재보험",서울 중구 남대문로5가 84-11 연세빌딩20층,N/A,"1,930명",1964 (62년차),16조,원유 정제 및 석유제품 판매사업,http://www.oilbank.co.kr,N/A
HJ중공업,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK이노엔,완제 의약품 제조업,중견기업,144억 5천만원 (2024.12.31),곽달원,"전문의약품,숙취해소음료 제조,도소매/부동산 임대/컨설팅",http://www.inno-n.com,콜마홀딩스그룹 콜마유엑스(주) 콜마홀딩스(주) (주)연우 (주)에치엔지 콜마스크(주) (주)넥스트앤바이오 농업회사법인근오농림(주) 콜마비앤에이치(주) 콜마생활건강(주) (주)레슬리 (주)플래닛147 콜마글로벌(주) (주)엠오디머티어리얼즈 (주)라우드랩스 (주)에이치케이케미스토리,"1,704명 (2024.12.31)",2014.04.01 (12년차),"8,971억 4천만원 (2024.12.31)","3,924만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 중구 을지로 100 (을지로2가, 파인에비뉴) A동 6,7,8층"
HL만도,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HMM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HS애드,광고 대행업,대기업,175억 7천만원 (2024.12.31),박애리,"국민연금, 건강보험, 고용보험, 산재보험","서울 마포구 마포대로 155 (공덕동, LG마포빌딩) .",엘지그룹 (주)엘지헬로비전 (주)LG유플러스 에이스냉동공조(주) 해태에이치티비(주) (주)미디어로그 (주)하이프라자 태극제약(주) (주)LG화학 (주)LG생활건강 (주)데이콤크로싱 (주)로보스타 (주)씨에스리더 (주)디앤오 LG전자(주) (주)비즈테크아이 (주)에프엠지 (주)아인텔레서비스 (주)LG 더보기,796명 (2024.12.31),1984.05.30 (42년차),"3,636억 1천만원 (2024.12.31)",광고대행,http://www.hsad.co.kr,N/A
HS화성,커튼 및 침구용품 도매업,중소기업,-,김정훈/김석영,"국민연금, 건강보험, 고용보험, 산재보험",경북 칠곡군 동명면 봉암2길 6 (봉암리) HS홈패션,N/A,9명,2016.10.04 (10년차),"8억 6,802만원 (2023.12.31)",커튼 및 침구용품 도매업,-,N/A
ISC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
JB금융지주,지주회사,대기업,"9,849억 1천만원 (2024.12.31)",김기홍,금융지주회사,http://www.jbfg.com,JB금융그룹그룹 제이비우리캐피탈(주) (주)전북은행 제이비자산운용(주) 제이비인베스트먼트(주) (주)광주은행,102명 (2024.12.31),2013.07.01 (13년차),"5,052억 5천만원 (2024.12.31)","5,569만원","국민연금, 건강보험, 고용보험, 산재보험",서울특별시 영등포구 여의나루로 77 (여의도동) JB빌딩
JW생명과학,완제 의약품 제조업,중견기업,395억 8천만원 (2024.12.31),노정열,"의약품(기초수액, TPN, 특수수액, HEMO, 영양수액) 제조,도소매",http://www.jw-lifescience.co.kr,JW그룹 (주)씨앤드씨신약연구소 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) JW중외제약(주) 제이더블유메디칼(주) 제이더블유신약(주) JW홀딩스(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리,328명 (2024.12.31),1994.05.10 (32년차),"2,212억 9백만원 (2024.12.31)","4,200만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",충남 당진군 송악읍 한진리 416
JW중외제약,완제 의약품 제조업,대기업,622억 5천만원 (2024.12.31),신영섭,"수액제,소화기궤양치료제,항생제,항암제 제조,도매",http://www.jw-holdings.co.kr,JW그룹 (주)씨앤드씨신약연구소 제이더블유생명과학(주) 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) 제이더블유메디칼(주) 제이더블유신약(주) JW홀딩스(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리,"2,181명",1945.08.08 (81년차),"6,848억","4,623만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 서초구 서초동 남부순환로 2477 (서초동)JW타워
JW홀딩스,제약·보건·바이오,중견기업,차성남,"국민연금, 건강보험, 고용보험, 산재보험",경기도 과천시 과천대로7길 38 (갈현동) JW그룹,JW그룹 (주)씨앤드씨신약연구소 제이더블유생명과학(주) 제이더블유생활건강(주) 제이더블유크레아젠(주) 제이더블유케미타운(주) JW중외제약(주) 제이더블유메디칼(주) 제이더블유신약(주) 제이더블유바이오사이언스(주) (주)제이더블유이노스퀘어피에프브이 (주)생명누리,N/A,"2,140명",1945.08.08 (81년차),의약품 제조 및 판매,http://www.jw-holdings.co.kr,N/A,N/A
KB금융,국내은행,대기업,2조 218억원 (2024.12.31),이환주,"은행,신탁,보험/부동산 임대",http://www.kbstar.com,KB금융그룹 케이비부동산신탁(주) 케이비신용정보(주) (주)케이비데이타시스템 (주)케이비손해사정 케이비자산운용(주) 케이비캐피탈(주) (주)케이비라이프생명보험 케이비인베스트먼트(주) 케이비증권(주) (주)케이비손해보험 (주)KB금융지주 (주)케이비손보씨엔에스 (주)케이비국민카드 더보기,"15,445명 (2024.12.31)",2001.11.01 (25년차),50조 2백억원 (2024.12.31),"3,163만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울특별시 중구 남대문로 84 (을지로2가) 국민은행
KB라이프생명보험,생명 보험업,대기업,"1,620억 1천만원 (2024.12.31)",정문철,생명보험,https://www.kblife.co.kr,KB금융그룹 케이비부동산신탁(주) 케이비신용정보(주) (주)국민은행 (주)케이비데이타시스템 (주)케이비손해사정 케이비자산운용(주) 케이비캐피탈(주) 케이비인베스트먼트(주) 케이비증권(주) (주)케이비손해보험 (주)KB금융지주 (주)케이비손보씨엔에스 (주)케이비국민카드 (주)케이비저축은행 더보기,716명 (2024.12.31),1990.07.01 (36년차),"2조 8,509억원 (2024.12.31)","3,780만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 강남구 강남대로 298 (역삼동, KB라이프타워) 18층 영업지원부"
KB손해보험,손해 보험업,대기업,332억 5천만원 (2024.12.31),구본욱,"장기 보험,자동차 보험,화재 보험,해상 보험,특종 보험",http://www.kbinsure.co.kr,KB금융그룹 케이비부동산신탁(주) 케이비신용정보(주) (주)국민은행 (주)케이비데이타시스템 (주)케이비손해사정 케이비자산운용(주) 케이비캐피탈(주) (주)케이비라이프생명보험 케이비인베스트먼트(주) 케이비증권(주) (주)KB금융지주 (주)케이비손보씨엔에스 (주)케이비국민카드 (주)케이비저축은행 더보기,"2,970명 (2024.12.31)",1959.01.27 (67년차),12조 7천억원 (2024.12.31),"4,033만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",대구 서구 서대구로 3 (내당동) DBS빌딩 8층 KB손해
KCC건설,일반용 도료 및 관련제품 제조업,대기업,480억 8천만원 (2024.12.31),정몽진/정재훈,"도료,건축용단열재,내외장재,석고보드,실리콘 등 제조",http://www.kccworld.co.kr,케이씨씨그룹 대호포장(주) (주)동주 (주)동주피앤지 (주)케이씨씨건설 세우실업(주) (주)금강레저 신한벽지(주) 미래(주) (주)동주상사 (주)케이씨씨글라스 (주)케이씨씨실리콘 (주)케이씨더블유,"3,687명 (2024.12.31)",1958.08.12 (68년차),"3조 1,269억원 (2024.12.31)","5,030만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험","서울 서초구 사평대로 344 (서초동, 금강빌딩) KCC"
KCI,건물 및 토목 엔지니어링 서비스업,중소기업,"7억 8,000만원 (2024.12.31)",이길용,"국민연금, 건강보험, 고용보험, 산재보험","경기 안양시 동안구 시민대로 401 (관양동, 대륭테크노타운15차) 7층 702호 케이씨아이",N/A,350명 (2024.12.31),1982.12.21 (44년차),520억 4천만원 (2024.12.31),"토목 엔지니어링/부동산 임대/소프트웨어 개발,구축/학술연구용역/측량/해외기술용역수주 감리/근로자 파견",http://www.kcieng.com,N/A
KC코트렐,기체 여과기 제조업,중견기업,321억 7백만원 (2024.12.31),박기서,환경방지오염시설(전기집진기 등) 제조,http://www.kc-cottrell.com,케이씨그린홀딩스그룹 케이씨안전기술(주) 엔더블유엘퍼시픽(주) 케이씨글라스(주) 케이씨환경개발(주) 놀텍코리아(주) (주)클레스트라하우저만 케이씨그린홀딩스(주) 케이씨솔라앤에너지(주) 태성플랜트검정(주) 케이씨그린소재(주) 솔팜2호(주) 에코빛길솔라(주) (주)화성솔팜1호 (주)이천뉴파워 더보기,155명 (2024.12.31),1973.11.27 (53년차),"2,965억 4천만원 (2024.12.31)","4,365만원 상세보기","국민연금, 건강보험, 고용보험, 산재보험",서울 마포구 상암동 상암산로 34 디지털큐브 12층
KEC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
