companyName,industry,numberOfEmployees,companyType,establishmentDate,capital,revenue,ceoName,graduateSalary,mainBusiness,hasFourInsurances,homepage,address,affiliates
AJ네트웍스,렌탈·임대·리스,500명,대기업,2000.02.10 (26년차),468억 2천만원 (2024.12.31),"6,116억 7천만원 (2024.12.31)",곽정호,"3,900만원 상세보기","파렛트,OA장비,건설장비 등 대여,도소매,전자상거래","국민연금, 건강보험, 고용보험, 산재보험",http://www.ajnetworks.co.kr,서울 송파구 정의로8길 9 (문정동) AJ빌딩,AJ네트웍스그룹 에이제이아이씨티(주) 에이제이대원(주) (주)월드컨설팅 에이제이토탈(주) 에이제이렌탈서비스(주) (주)포시즌컨설팅 에이제이스포츠(주) (주)티에스글로벌 (주)에이제이전국스카이 에이제이에너지(주) 에이제이리테일(주) 에이스산업기술(주) 에이아이앤솔루션즈(주) 에이제이트랜스밸류(주)
AK홀딩스,기타 토목시설물 건설업,10명,중소기업,2017.05.25 (9년차),-,-,김진성,N/A,토목공사,"국민연금, 건강보험, 고용보험, 산재보험",-,"서울 동작구 남부순환로 2077 (사당동, 건축회관) 6층",N/A
BGF,체인화 편의점,"2,869명 (2024.12.31)",중견기업,2017.11.01 (9년차),172억 8천만원 (2024.12.31),"8조 5,921억원 (2024.12.31)",민승배,N/A,체인화 편의점,"국민연금, 건강보험, 고용보험, 산재보험",http://www.bgfretail.com,"서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기
BGF리테일,체인화 편의점,"2,869명 (2024.12.31)",중견기업,2017.11.01 (9년차),172억 8천만원 (2024.12.31),"8조 5,921억원 (2024.12.31)",민승배,N/A,체인화 편의점,"국민연금, 건강보험, 고용보험, 산재보험",http://www.bgfretail.com,"서울 강남구 테헤란로 405 (삼성동, BGF사옥)",BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 (주)비지에프에코머티리얼즈 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 더보기
BGF에코머티리얼즈,합성수지 및 기타 플라스틱 물질 제조업,161명 (2024.12.31),중견기업,1997.10.13 (29년차),313억 8천만원 (2024.12.31),"1,807억 3백만원 (2024.12.31)",홍정혁,N/A,"합성수지,칩(엔지니어링 플라스틱소재) 제조","국민연금, 건강보험, 고용보험, 산재보험",http://www.bgfecomaterials.com,경기 화성시 장안면 상두원길 142 (장안리),BGF그룹 (주)비지에프 (주)비지에프로지스 (주)케이엔더블유 비지에프에코스페셜티(주) (주)피와이언홀딩스 보광인베스트먼트(주) (주)비지에프푸드 (주)에미커스파트너스 대원케미칼(주) (주)비지에프에코솔루션 (주)비지에프네트웍스 (주)비지에프휴먼넷 (주)씨펙스로지스틱 (주)비지에프리테일 더보기
BNK금융지주,컨설팅·연구·조사,111명 (2024.12.31),대기업,2011.03.15 (15년차),"1조 6,296억원 (2024.12.31)","3,770억 6천만원 (2024.12.31)",빈대인,N/A,금융지주회사/경영 관리,"국민연금, 건강보험, 고용보험, 산재보험",http://www.bnkfg.com,"부산 남구 문현금융로 30 (문현동, 부산은행본점) (주)BNK금융지주",BNK금융그룹 비엔케이신용정보(주) (주)부산은행 비엔케이자산운용(주) 비엔케이캐피탈(주) (주)비엔케이시스템 (주)비엔케이저축은행 비엔케이벤처투자(주) (주)비엔케이투자증권 (주)경남은행
BNK캐피탈,캐피탈·대출,465명,대기업,2010.07.15 (16년차),"2,805억원","1조 3,343억원 (2024.12.31)",김성주,N/A,"시설대여업, 할부금융업, 기타금융업","국민연금, 건강보험, 고용보험, 산재보험",http://www.bnkcapital.co.kr,부산 부산진구 새싹로 1 (부전동) 부산은행 부전동지점 8층,BNK금융그룹 비엔케이신용정보(주) (주)부산은행 비엔케이자산운용(주) (주)BNK금융지주 (주)비엔케이시스템 (주)비엔케이저축은행 비엔케이벤처투자(주) (주)비엔케이투자증권 (주)경남은행
BYC,속옷 및 잠옷 제조업,517명 (2024.12.31),중견기업,1955.05.13 (71년차),42억원 (2024.12.31),"1,642억 8천만원 (2024.12.31)",김대환,"3,546만원","메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급","국민연금, 건강보험, 고용보험, 산재보험",http://home.byc.co.kr,서울 영등포구 디지털로38길 27 (대림동) byc,비와이씨그룹 (주)남호섬유 (주)바이콤광고 (학)신한학원 (주)창성상품 한영봉제(주) (주)리넥트 (주)인화상품 (주)백양 신한봉제(주) 경동흥업(주) (주)신한방 (주)백양네트웍스 (주)한정씨앤지 한흥물산(주) (주)제일상품 (주)신한에디피스 농업회사법인신한농림(주) (주)제원기업 (주)일관 더보기
CJ,음식료·외식·프랜차이즈,"50,000명",대기업,1953.08.01 (73년차),"1,790억 4천만원 (2024.12.31)",27조,손경식/김홍기,"4,000만원 상세보기","식품서비스, 신유통, E&M, 생명공학","국민연금, 건강보험, 고용보험, 산재보험",http://www.cj.net,서울 중구 남대문로5가 500번지 CJ빌딩,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기
CJ CGV,영화관 운영업,"1,083명 (2024.12.31)",대기업,1999.03.30 (27년차),827억 9천만원 (2024.12.31),"7,587억 6천만원 (2024.12.31)",정종민,"2,600만원 상세보기","영화상영,영화관 운영","국민연금, 건강보험, 고용보험, 산재보험",http://www.cgv.co.kr,"서울 용산구 한강대로23길 55 (한강로3가, 용산역) 아이파크몰 6층 (한강로동)",씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 한국복합물류(주) CJ(주) 더보기
CJ ENM,방송·케이블·프로덕션,"3,614명",대기업,1994.12.16 (32년차),"1,105억 7천만원 (2024.12.31)","2조 7,872억원 (2024.12.31)",윤상현,"3,506만원 상세보기",종합 콘텐츠 기업,"국민연금, 건강보험, 고용보험, 산재보험",http://cjenm.com,서울 마포구 상암동 상암산로 66 CJ ENM CENTER 엔터테인먼트부문,씨제이그룹 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 한국복합물류(주) CJ(주) 더보기
CJ 바이오사이언스,제약·보건·바이오,50명,중소기업,-,-,-,adminBoss,"6,000만원 상세보기",-,"국민연금, 건강보험, 고용보험, 산재보험",https://www.cjbioscience.com/,"서울 중구 세종대로 14 (남대문로5가, 그랜드센트럴(G",N/A
CJ대한통운,물류·운송·배송,"100,000명",중소기업,1880.01.01 (146년차),-,-,이종석,N/A,택배업무,"고용보험, 산재보험",-,서울 금천구 가산동 319-19,N/A
CJ제일제당,설탕 제조업,"8,328명 (2024.12.31)",대기업,2007.09.04 (19년차),819억 8백만원 (2024.12.31),"7조 5,982억원 (2024.12.31)",손경식/강신호,"3,537만원 상세보기","설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매","국민연금, 건강보험, 고용보험, 산재보험",http://www.cj.co.kr,서울 중구 쌍림동 CJ제일제당센터,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기
CJ프레시웨이,음식료·외식·프랜차이즈,"50,000명",대기업,1953.08.01 (73년차),"1,790억 4천만원 (2024.12.31)",27조,손경식/김홍기,"4,000만원 상세보기","식품서비스, 신유통, E&M, 생명공학","국민연금, 건강보험, 고용보험, 산재보험",http://www.cj.net,서울 중구 남대문로5가 500번지 CJ빌딩,씨제이그룹 (주)씨제이이엔엠 씨제이올리브네트웍스(주) 삼해상사(주) 씨제이엠디원(주) CJ씨푸드(주) 씨제이씨지브이(주) (주)씨제이메조미디어 울산항만운영(주) 마산항제4부두운영(주) 씨제이인베스트먼트(주) 씨제이푸드빌(주) 씨제이프레시웨이(주) (주)씨제이텔레닉스 프레시플러스(주) 더보기
